18/01/13 19:04:10 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
18/01/13 19:04:10 INFO client.RMProxy: Connecting to ResourceManager at saber-02/10.7.56.159:8032
Running on 1 nodes to sort from hdfs://saber-02:8020/HiBench/Sort/Input into hdfs://saber-02:8020/HiBench/Sort/Output with 50 reduces.
Job started: Sat Jan 13 19:04:11 PST 2018
18/01/13 19:04:11 INFO client.RMProxy: Connecting to ResourceManager at saber-02/10.7.56.159:8032
18/01/13 19:04:12 INFO input.FileInputFormat: Total input paths to process : 50
18/01/13 19:04:12 INFO mapreduce.JobSubmitter: number of splits:1150
18/01/13 19:04:12 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1515893927554_0006
18/01/13 19:04:12 INFO impl.YarnClientImpl: Submitted application application_1515893927554_0006
18/01/13 19:04:12 INFO mapreduce.Job: The url to track the job: http://saber-02:8088/proxy/application_1515893927554_0006/
18/01/13 19:04:12 INFO mapreduce.Job: Running job: job_1515893927554_0006
18/01/13 19:04:20 INFO mapreduce.Job: Job job_1515893927554_0006 running in uber mode : false
18/01/13 19:04:20 INFO mapreduce.Job:  map 0% reduce 0%
18/01/13 19:15:47 INFO mapreduce.Job:  map 44% reduce 12%
18/01/13 19:15:56 INFO mapreduce.Job:  map 44% reduce 13%
18/01/13 19:16:16 INFO mapreduce.Job:  map 45% reduce 13%
18/01/13 19:16:35 INFO mapreduce.Job:  map 46% reduce 13%
18/01/13 19:16:36 INFO mapreduce.Job:  map 46% reduce 14%
18/01/13 19:16:57 INFO mapreduce.Job:  map 47% reduce 14%
18/01/13 19:17:07 INFO mapreduce.Job:  map 47% reduce 15%
18/01/13 19:17:08 INFO mapreduce.Job:  map 48% reduce 15%
18/01/13 19:17:20 INFO mapreduce.Job:  map 49% reduce 15%
18/01/13 19:17:34 INFO mapreduce.Job:  map 50% reduce 15%
18/01/13 19:17:44 INFO mapreduce.Job:  map 51% reduce 15%
18/01/13 19:17:57 INFO mapreduce.Job:  map 51% reduce 16%
18/01/13 19:17:59 INFO mapreduce.Job:  map 52% reduce 16%
18/01/13 19:18:16 INFO mapreduce.Job:  map 53% reduce 16%
18/01/13 19:18:27 INFO mapreduce.Job:  map 54% reduce 16%
18/01/13 19:18:31 INFO mapreduce.Job:  map 54% reduce 17%
18/01/13 19:18:40 INFO mapreduce.Job:  map 55% reduce 17%
18/01/13 19:18:53 INFO mapreduce.Job:  map 56% reduce 17%
18/01/13 19:19:03 INFO mapreduce.Job:  map 57% reduce 17%
18/01/13 19:19:09 INFO mapreduce.Job:  map 58% reduce 17%
18/01/13 19:19:14 INFO mapreduce.Job:  map 58% reduce 18%
18/01/13 19:19:16 INFO mapreduce.Job:  map 59% reduce 18%
18/01/13 19:19:22 INFO mapreduce.Job:  map 60% reduce 18%
18/01/13 19:19:28 INFO mapreduce.Job:  map 61% reduce 18%
18/01/13 19:19:33 INFO mapreduce.Job:  map 62% reduce 18%
18/01/13 19:19:42 INFO mapreduce.Job:  map 62% reduce 19%
18/01/13 19:19:43 INFO mapreduce.Job:  map 63% reduce 19%
18/01/13 19:20:02 INFO mapreduce.Job:  map 64% reduce 19%
18/01/13 19:20:06 INFO mapreduce.Job:  map 64% reduce 20%
18/01/13 19:20:25 INFO mapreduce.Job:  map 64% reduce 21%
18/01/13 19:20:30 INFO mapreduce.Job:  map 65% reduce 21%
18/01/13 19:20:38 INFO mapreduce.Job:  map 66% reduce 21%
18/01/13 19:20:48 INFO mapreduce.Job:  map 67% reduce 21%
18/01/13 19:20:58 INFO mapreduce.Job:  map 68% reduce 21%
18/01/13 19:21:00 INFO mapreduce.Job:  map 68% reduce 22%
18/01/13 19:21:09 INFO mapreduce.Job:  map 69% reduce 22%
18/01/13 19:21:17 INFO mapreduce.Job:  map 69% reduce 23%
18/01/13 19:21:57 INFO mapreduce.Job:  map 70% reduce 23%
18/01/13 19:22:49 INFO mapreduce.Job:  map 71% reduce 23%
18/01/13 19:23:08 INFO mapreduce.Job:  map 72% reduce 23%
18/01/13 19:23:15 INFO mapreduce.Job:  map 73% reduce 23%
18/01/13 19:23:21 INFO mapreduce.Job:  map 74% reduce 23%
18/01/13 19:23:30 INFO mapreduce.Job:  map 75% reduce 23%
18/01/13 19:23:35 INFO mapreduce.Job:  map 76% reduce 23%
18/01/13 19:23:41 INFO mapreduce.Job:  map 77% reduce 23%
18/01/13 19:23:47 INFO mapreduce.Job:  map 78% reduce 23%
18/01/13 19:23:53 INFO mapreduce.Job:  map 79% reduce 23%
18/01/13 19:23:57 INFO mapreduce.Job:  map 79% reduce 24%
18/01/13 19:23:58 INFO mapreduce.Job:  map 80% reduce 24%
18/01/13 19:24:04 INFO mapreduce.Job:  map 81% reduce 24%
18/01/13 19:24:10 INFO mapreduce.Job:  map 82% reduce 24%
18/01/13 19:24:17 INFO mapreduce.Job:  map 83% reduce 24%
18/01/13 19:24:25 INFO mapreduce.Job:  map 84% reduce 24%
18/01/13 19:24:34 INFO mapreduce.Job:  map 84% reduce 25%
18/01/13 19:24:35 INFO mapreduce.Job:  map 85% reduce 25%
18/01/13 19:24:42 INFO mapreduce.Job:  map 86% reduce 25%
18/01/13 19:24:51 INFO mapreduce.Job:  map 87% reduce 25%
18/01/13 19:24:56 INFO mapreduce.Job:  map 87% reduce 26%
18/01/13 19:25:06 INFO mapreduce.Job:  map 88% reduce 26%
18/01/13 19:25:07 INFO mapreduce.Job:  map 88% reduce 27%
18/01/13 19:25:21 INFO mapreduce.Job:  map 88% reduce 28%
18/01/13 19:25:32 INFO mapreduce.Job:  map 88% reduce 29%
18/01/13 19:25:56 INFO mapreduce.Job:  map 89% reduce 29%
18/01/13 19:26:11 INFO mapreduce.Job:  map 89% reduce 30%
18/01/13 19:26:15 INFO mapreduce.Job:  map 90% reduce 30%
18/01/13 19:26:29 INFO mapreduce.Job:  map 91% reduce 30%
18/01/13 19:26:35 INFO mapreduce.Job:  map 92% reduce 30%
18/01/13 19:26:43 INFO mapreduce.Job:  map 93% reduce 30%
18/01/13 19:26:49 INFO mapreduce.Job:  map 94% reduce 30%
18/01/13 19:26:55 INFO mapreduce.Job:  map 95% reduce 30%
18/01/13 19:27:01 INFO mapreduce.Job:  map 96% reduce 30%
18/01/13 19:27:08 INFO mapreduce.Job:  map 97% reduce 30%
18/01/13 19:27:11 INFO mapreduce.Job:  map 98% reduce 30%
18/01/13 19:27:15 INFO mapreduce.Job:  map 99% reduce 30%
18/01/13 19:27:22 INFO mapreduce.Job:  map 100% reduce 30%
18/01/13 19:27:23 INFO mapreduce.Job:  map 100% reduce 31%
18/01/13 19:27:34 INFO mapreduce.Job:  map 100% reduce 32%
18/01/13 19:27:47 INFO mapreduce.Job:  map 100% reduce 33%
18/01/13 19:28:00 INFO mapreduce.Job:  map 100% reduce 34%
18/01/13 19:28:03 INFO mapreduce.Job:  map 100% reduce 35%
18/01/13 19:28:05 INFO mapreduce.Job:  map 100% reduce 36%
18/01/13 19:28:06 INFO mapreduce.Job:  map 100% reduce 37%
18/01/13 19:28:07 INFO mapreduce.Job:  map 100% reduce 38%
18/01/13 19:28:08 INFO mapreduce.Job:  map 100% reduce 39%
18/01/13 19:28:09 INFO mapreduce.Job:  map 100% reduce 41%
18/01/13 19:28:10 INFO mapreduce.Job:  map 100% reduce 43%
18/01/13 19:28:11 INFO mapreduce.Job:  map 100% reduce 44%
18/01/13 19:28:12 INFO mapreduce.Job:  map 100% reduce 46%
18/01/13 19:28:13 INFO mapreduce.Job:  map 100% reduce 48%
18/01/13 19:28:14 INFO mapreduce.Job:  map 100% reduce 52%
18/01/13 19:28:15 INFO mapreduce.Job:  map 100% reduce 53%
18/01/13 19:28:16 INFO mapreduce.Job:  map 100% reduce 54%
18/01/13 19:28:17 INFO mapreduce.Job:  map 100% reduce 56%
18/01/13 19:28:18 INFO mapreduce.Job:  map 100% reduce 57%
18/01/13 19:28:19 INFO mapreduce.Job:  map 100% reduce 58%
18/01/13 19:28:21 INFO mapreduce.Job:  map 100% reduce 59%
18/01/13 19:28:24 INFO mapreduce.Job:  map 100% reduce 61%
18/01/13 19:28:26 INFO mapreduce.Job:  map 100% reduce 62%
18/01/13 19:28:27 INFO mapreduce.Job:  map 100% reduce 64%
18/01/13 19:28:31 INFO mapreduce.Job:  map 100% reduce 65%
18/01/13 19:28:38 INFO mapreduce.Job:  map 100% reduce 66%
18/01/13 19:28:41 INFO mapreduce.Job:  map 100% reduce 67%
18/01/13 19:28:44 INFO mapreduce.Job:  map 100% reduce 68%
18/01/13 19:28:50 INFO mapreduce.Job:  map 100% reduce 69%
18/01/13 19:29:07 INFO mapreduce.Job:  map 100% reduce 70%
18/01/13 19:29:10 INFO mapreduce.Job:  map 100% reduce 71%
18/01/13 19:29:20 INFO mapreduce.Job:  map 100% reduce 72%
18/01/13 19:29:34 INFO mapreduce.Job:  map 100% reduce 73%
18/01/13 19:29:41 INFO mapreduce.Job:  map 100% reduce 74%
18/01/13 19:29:52 INFO mapreduce.Job:  map 100% reduce 75%
18/01/13 19:30:06 INFO mapreduce.Job:  map 100% reduce 76%
18/01/13 19:30:20 INFO mapreduce.Job:  map 100% reduce 77%
18/01/13 19:30:41 INFO mapreduce.Job:  map 100% reduce 78%
18/01/13 19:31:00 INFO mapreduce.Job:  map 100% reduce 79%
18/01/13 19:31:11 INFO mapreduce.Job:  map 100% reduce 80%
18/01/13 19:31:21 INFO mapreduce.Job:  map 100% reduce 81%
18/01/13 19:31:42 INFO mapreduce.Job:  map 100% reduce 82%
18/01/13 19:31:47 INFO mapreduce.Job:  map 100% reduce 83%
18/01/13 19:32:07 INFO mapreduce.Job:  map 100% reduce 84%
18/01/13 19:32:18 INFO mapreduce.Job:  map 100% reduce 85%
18/01/13 19:32:33 INFO mapreduce.Job:  map 100% reduce 86%
18/01/13 19:32:53 INFO mapreduce.Job:  map 100% reduce 87%
18/01/13 19:32:57 INFO mapreduce.Job:  map 100% reduce 88%
18/01/13 19:33:16 INFO mapreduce.Job:  map 100% reduce 89%
18/01/13 19:33:22 INFO mapreduce.Job:  map 100% reduce 90%
18/01/13 19:33:51 INFO mapreduce.Job:  map 100% reduce 91%
18/01/13 19:34:07 INFO mapreduce.Job:  map 100% reduce 92%
18/01/13 19:34:17 INFO mapreduce.Job:  map 100% reduce 93%
18/01/13 19:34:51 INFO mapreduce.Job:  map 100% reduce 94%
18/01/13 19:34:59 INFO mapreduce.Job:  map 100% reduce 95%
18/01/13 19:35:11 INFO mapreduce.Job:  map 100% reduce 96%
18/01/13 19:35:33 INFO mapreduce.Job:  map 100% reduce 97%
18/01/13 19:35:38 INFO mapreduce.Job:  map 100% reduce 98%
18/01/13 19:35:58 INFO mapreduce.Job:  map 100% reduce 99%
18/01/13 19:36:27 INFO mapreduce.Job:  map 100% reduce 100%
18/01/13 19:36:40 INFO mapreduce.Job: Job job_1515893927554_0006 completed successfully
18/01/13 19:36:40 INFO mapreduce.Job: Counters: 50
	File System Counters
		FILE: Number of bytes read=894549375128
		FILE: Number of bytes written=1197724482316
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=307962891679
		HDFS: Number of bytes written=307960596988
		HDFS: Number of read operations=4750
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=100
	Job Counters
		Killed map tasks=8
		Launched map tasks=1158
		Launched reduce tasks=50
		Data-local map tasks=1158
		Total time spent by all maps in occupied slots (ms)=247623230
		Total time spent by all reduces in occupied slots (ms)=75938301
		Total time spent by all map tasks (ms)=247623230
		Total time spent by all reduce tasks (ms)=75938301
		Total vcore-milliseconds taken by all map tasks=247623230
		Total vcore-milliseconds taken by all reduce tasks=75938301
		Total megabyte-milliseconds taken by all map tasks=253566187520
		Total megabyte-milliseconds taken by all reduce tasks=77760820224
	Map-Reduce Framework
		Map input records=457807801
		Map output records=457807801
		Map output bytes=301744687020
		Map output materialized bytes=303491147311
		Input split bytes=134550
		Combine input records=0
		Combine output records=0
		Reduce input groups=457807798
		Reduce shuffle bytes=303491147311
		Reduce input records=457807801
		Reduce output records=457807801
		Spilled Records=1806531078
		Shuffled Maps =57500
		Failed Shuffles=0
		Merged Map outputs=57500
		GC time elapsed (ms)=41934287
		CPU time spent (ms)=296806170
		Physical memory (bytes) snapshot=409673658368
		Virtual memory (bytes) snapshot=20423799066624
		Total committed heap usage (bytes)=243484590080
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters
		Bytes Read=307962757129
	File Output Format Counters
		Bytes Written=307960596988
Job ended: Sat Jan 13 19:36:40 PST 2018
The job took 1949 seconds.
